Survey,AKARI-NEP,AKARI-SEP,Bootes,CDFS-SWIRE,COSMOS,EGS,ELAIS-N1,ELAIS-N2,ELAIS-S1,GAMA-09,GAMA-12,GAMA-15,HATLAS-NGP,HATLAS-SGP,HDF-N,Herschel-Stripe-82,Lockman-SWIRE,SA13,SPIRE-NEP,SSDF,XMM-13hr,XMM-LSS,xFLS,NGP,SGP,HELMS
2MASS-extended-sources,AKARI-NEP,AKARI-SEP,Bootes,CDFS-SWIRE,COSMOS,EGS,ELAIS-N1,ELAIS-N2,ELAIS-S1,GAMA-09,GAMA-12,GAMA-15,HATLAS-NGP,HATLAS-SGP,HDF-N,Herschel-Stripe-82,Lockman-SWIRE,SA13,SPIRE-NEP,SSDF,XMM-13hr,XMM-LSS,xFLS,,,,
2MASS-point-sources,AKARI-NEP,AKARI-SEP,Bootes,CDFS-SWIRE,COSMOS,EGS,ELAIS-N1,ELAIS-N2,ELAIS-S1,GAMA-09,GAMA-12,GAMA-15,HATLAS-NGP,HATLAS-SGP,HDF-N,Herschel-Stripe-82,Lockman-SWIRE,SA13,SPIRE-NEP,SSDF,XMM-13hr,XMM-LSS,xFLS,,,,
AEGIS,,,,,,EGS,,,,,,,,,,,,,,,,,,,,,
AKARI-NEP-OptNIR,AKARI-NEP,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLWISE,AKARI-NEP,AKARI-SEP,Bootes,CDFS-SWIRE,COSMOS,EGS,ELAIS-N1,ELAIS-N2,ELAIS-S1,GAMA-09,GAMA-12,GAMA-15,HATLAS-NGP,HATLAS-SGP,HDF-N,Herschel-Stripe-82,Lockman-SWIRE,SA13,SPIRE-NEP,SSDF,XMM-13hr,XMM-LSS,xFLS,NGP,SGP,HELMS

ATLAS,,,,CDFS-SWIRE,,,,,,,,,,HATLAS-SGP,,,,,,,,,,,,,
CANDELS-3D-HST,,,,CDFS-SWIRE,COSMOS,EGS,,,,,,,,,HDF-N,,,,,,,XMM-LSS,,,,,
CANDELS-EGS,,,,,,EGS,,,,,,,,,,,,,,,,,,,,,
CANDELS-GOODS-N,,,,CDFS-SWIRE,,,,,,,,,,,,,,,,,,,,,,,
CANDELS-GOODS-S,,,,CDFS-SWIRE,,,,,,,,,,,,,,,,,,,,,,,
CANDELS-UDS,,,,,,,,,,,,,,,,,,,,,,XMM-LSS,,,,,
CFHT-WIRDS,,,,,COSMOS,EGS,,,,,,,,,,,,,,,,XMM-LSS,,,,,
CFHTLS,,,,,COSMOS,EGS,,,,GAMA-09,,,,,,,,,,,,XMM-LSS,,,,,
CFHTLenS,,,,,,EGS,,,,GAMA-09,,,,,,,,,,,,XMM-LSS,,,,,
COMBO-17,,,,CDFS-SWIRE,,,,,,,,,,,,,,,,,,,,,,,
COSMOS2015,,,,,COSMOS,,,,,,,,,,,,,,,,,,,,,,
DECaLS,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEEP2,,,,,,EGS,,,,,,,,,,Herschel-Stripe-82,,,,,,,,,,,
DES,,AKARI-SEP,,CDFS-SWIRE,,,,,ELAIS-S1,,,,,HATLAS-SGP,,Herschel-Stripe-82,,,,SSDF,,XMM-LSS,,,,,
DataFusion-Spitzer,,,Bootes,CDFS-SWIRE,,,ELAIS-N1,,ELAIS-S1,,,,,,,,Lockman-SWIRE,,,,,XMM-LSS,,,,,
ESIS-VOICE,,,,,,,,,ELAIS-S1,,,,,,,,,,,,,,,,,,
Fireworks,,,,CDFS-SWIRE,,,,,,,,,,,,,,,,,,,,,,,
GAIA,AKARI-NEP,AKARI-SEP,Bootes,CDFS-SWIRE,COSMOS,EGS,ELAIS-N1,ELAIS-N2,ELAIS-S1,GAMA-09,GAMA-12,GAMA-15,HATLAS-NGP,HATLAS-SGP,HDF-N,Herschel-Stripe-82,Lockman-SWIRE,SA13,SPIRE-NEP,SSDF,XMM-13hr,XMM-LSS,xFLS,NGP,SGP,HELMS

GALEX-GCAT,AKARI-NEP,AKARI-SEP,Bootes,CDFS-SWIRE,COSMOS,EGS,ELAIS-N1,ELAIS-N2,ELAIS-S1,GAMA-09,GAMA-12,GAMA-15,HATLAS-NGP,HATLAS-SGP,HDF-N,Herschel-Stripe-82,Lockman-SWIRE,SA13,SPIRE-NEP,SSDF,XMM-13hr,XMM-LSS,xFLS,NGP,SGP,HELMS

GOODS-ACS,,,,CDFS-SWIRE,,,,,,,,,,,HDF-N,,,,,,,,,,,,
HSC,,,,,COSMOS,EGS,ELAIS-N1,,,GAMA-09,GAMA-12,GAMA-15,,,,Herschel-Stripe-82,,,,,,XMM-LSS,,,,,
Hawaii-HDFN,,,,,,,,,,,,,,,HDF-N,,,,,,,,,,,,
IAC_Stripe82_Legacy_Project,,,,,,,,,,,,,,,,Herschel-Stripe-82,,,,,,,,,,,
IBIS,,,Bootes,,,,,,,,,,,,,,,,,,,,,,,,
INTWFC,,,,,,,ELAIS-N1,ELAIS-N2,,,,,,,,,Lockman-SWIRE,,,,,,xFLS,,,,
IRAC-EGS,,,,,,EGS,,,,,,,,,,,,,,,,,,,,,
KIDS,,,,CDFS-SWIRE,COSMOS,,,,,GAMA-09,GAMA-12,GAMA-15,,HATLAS-SGP,,,,,,,,,,,,,
KPNO-FLS,,,,,,,ELAIS-N1,,,,,,,,,,,,,,,,xFLS,,,,
LegacySurvey,,,Bootes,,,EGS,ELAIS-N1,ELAIS-N2,,,,,HATLAS-NGP,,,,Lockman-SWIRE,SA13,,,XMM-13hr,,xFLS,,NGP,,
NDWFS,,,Bootes,,,,,,,,,,,,,,,,,,,,,,,,
NEP-Spitzer,AKARI-NEP,,,,,,,,,,,,,,,,,,,,,,,,,,
PanSTARRS1-3SS,AKARI-NEP,,Bootes,CDFS-SWIRE,COSMOS,EGS,ELAIS-N1,ELAIS-N2,,GAMA-09,GAMA-12,GAMA-15,HATLAS-NGP,HATLAS-SGP,HDF-N,Herschel-Stripe-82,Lockman-SWIRE,,SPIRE-NEP,,,XMM-LSS,xFLS,,,SGP,
RCSLenS,,,,,,,ELAIS-N1,ELAIS-N2,,,,,,,,Herschel-Stripe-82,Lockman-SWIRE,,,,,,,,,,
SCUBA2-Duivenvoorden2018,,,,,,,,,,,,,,,,,,,,,,,,,,,HELMS
SDSS-DR13,AKARI-NEP,,Bootes,,COSMOS,EGS,ELAIS-N1,ELAIS-N2,,GAMA-09,GAMA-12,GAMA-15,,,HDF-N,Herschel-Stripe-82,Lockman-SWIRE,,SPIRE-NEP,,,XMM-LSS,xFLS,,,,
SDSS-S82,,,,,,,,,,,,,,,,Herschel-Stripe-82,,,,,,,,,,,
SDWFS,,,Bootes,,,,,,,,,,,,,,,,,,,,,,,,
SHELA,,,,,,,,,,,,,,,,Herschel-Stripe-82,,,,,,,,,,,
SIMES,,AKARI-SEP,,,,,,,,,,,,,,,,,,,,,,,,,
SMUVS,,,,,COSMOS,,,,,,,,,,,,,,,,,,,,,,
SPLASH-SXDF,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSDF,,,,,,,,,,,,,,,,,,,,SSDF,,,,,,,
SXDS,,,,,,,,,,,,,,,,,,,,,,XMM-LSS,,,,,
SpARCS,,,,,,,ELAIS-N1,ELAIS-N2,,,,,,,,,Lockman-SWIRE,,,,,XMM-LSS,,,,,
SpIES,,,,,,,,,,,,,,,,Herschel-Stripe-82,,,,,,,,,,,
SpUDS,,,,,,,,,,,,,,,,,,,,,,XMM-LSS,,,,,
UHS,,,Bootes,,,EGS,ELAIS-N1,ELAIS-N2,,,,,HATLAS-NGP,,,,Lockman-SWIRE,SA13,,,XMM-13hr,,xFLS,,NGP,,
UKIDSS-DXS_DR10plus,,,,,,,ELAIS-N1,,,,,,,,,,Lockman-SWIRE,,,,,XMM-LSS,,,,,
UKIDSS-LAS,,,,,COSMOS,,,,,GAMA-09,GAMA-12,GAMA-15,HATLAS-NGP,,,Herschel-Stripe-82,,,,,,,,,,,
UKIDSS-UDS,,,,,,,,,,,,,,,,,,,,,,XMM-LSS,,,,,
Ultradeep-Ks-GOODS-N,,,,,,,,,,,,,,,HDF-N,,,,,,,,,,,,
VICS82,,,,,,,,,,,,,,,,Herschel-Stripe-82,,,,,,,,,,,
VIPERS-MLS,,,,,,,,,,,,,,,,,,,,,,XMM-LSS,,,,,
VISTA-VHS,,AKARI-SEP,,CDFS-SWIRE,,,,,ELAIS-S1,GAMA-09,,,,,,Herschel-Stripe-82,,,,SSDF,,XMM-LSS,,,,,
VISTA-VIDEO-private,,,,CDFS-SWIRE,,,,,ELAIS-S1,,,,,,,,,,,,,XMM-LSS,,,,,
VISTA-VIKING,,,,CDFS-SWIRE,,,,,,GAMA-09,GAMA-12,GAMA-15,,HATLAS-SGP,,,,,,,,XMM-LSS,,,,,
zBootes,,,Bootes,,,,,,,,,,,,,,,,,,,,,,,,
