field,band,type,creator,file
AKARI-NEP,100,cov,MS,Akari-NEP-100um-cov_gls.fits 
AKARI-NEP,100,noise,MS,Akari-NEP-100um-img_noise.fits
AKARI-NEP,100,image,MS,Akari-NEP-100um-img_wgls.fits  
AKARI-NEP,160,cov,MS,Akari-NEP-160um-cov_gls.fits 
AKARI-NEP,160,noise,MS,Akari-NEP-160um-img_noise.fits
AKARI-NEP,160,image,MS,Akari-NEP-160um-img_wgls.fits  
AKARI-SEP,100,cov,MS,Akari-SEP-100um-cov_gls.fits 
AKARI-SEP,100,noise,MS,Akari-SEP-100um-img_noise.fits
AKARI-SEP,100,image,MS,Akari-SEP-100um-img_wgls.fits  
AKARI-SEP,160,cov,MS,Akari-SEP-160um-cov_gls.fits 
AKARI-SEP,160,noise,MS,Akari-SEP-160um-img_noise.fits
AKARI-SEP,160,image,MS,Akari-SEP-160um-img_wgls.fits  
Bootes,100,cov,MS,Bootes-100um-cov_gls_20171002.fits 
Bootes,100,noise,MS,Bootes-100um-img_noise_20171002.fits
Bootes,100,image,MS,Bootes-100um-img_wgls_20171002.fits  
Bootes,160,cov,MS,Bootes-160um-cov_gls_20171002.fits 
Bootes,160,noise,MS,Bootes-160um-img_noise_20171002.fits
Bootes,160,image,MS,Bootes-160um-img_wgls_20171002.fits  
CDFS-SWIRE,100,noise,KP,CDFS-SWIRE_PACS100_20160413_img_noise.fits  
CDFS-SWIRE,100,image,KP,CDFS-SWIRE_PACS100_20160413_img_wgls.fits
CDFS-SWIRE,160,noise,KP,CDFS-SWIRE_PACS160_20160413_img_noise.fits
CDFS-SWIRE,160,image,KP,CDFS-SWIRE_PACS160_20160413_img_wgls.fits
COSMOS,100,noise,KP,COSMOS_PACS100_20160805_img_avg_noise.fits 
COSMOS,100,image,KP,COSMOS_PACS100_20160805_img_avg.fits 
COSMOS,160,noise,KP,COSMOS_PACS160_20160728_img_avg_noise.fits
COSMOS,160,image,KP,COSMOS_PACS160_20160728_img_avg.fits
EGS,100,image,KP,EGS_PACS100_20161012_img_gls.fits
EGS,100,noise,KP,EGS_PACS100_20161012_img_noise.fits 
EGS,160,image,KP,EGS_PACS160_20161012_img_gls.fits
EGS,160,noise,KP,EGS_PACS160_20161012_img_noise.fits 
ELAIS-N1,100,cov,MS,ELAIS-N1-100um-cove_gls_20170608.fits
ELAIS-N1,100,noise,MS,ELAIS-N1-100um-img_noise_20170608.fits
ELAIS-N1,100,image,MS,ELAIS-N1-100um-img_wgls_20170608.fits
ELAIS-N1,160,cov,MS,ELAIS-N1-160um-cov_gls_20170608.fits
ELAIS-N1,160,noise,MS,ELAIS-N1-160um-img_noise_20170608.fits
ELAIS-N1,160,image,MS,ELAIS-N1-160um-img_wgls_20170608.fits 
ELAIS-N2,100,noise,MS,ELAIS-N2-100um-img_noise.fits
ELAIS-N2,100,image,MS,ELAIS-N2-100um-img_wgls.fits
ELAIS-N2,160,noise,MS,ELAIS-N2-160um-img_noise.fits
ELAIS-N2,160,image,MS,ELAIS-N2-160um-img_wgls.fits
ELAIS-S1,100,noise,KP,ELAIS-S1_PACS100_20160428_img_noise.fits 
ELAIS-S1,100,image,KP,ELAIS-S1_PACS100_20160428_img_wgls.fits
ELAIS-S1,160,noise,KP,ELAIS-S1_PACS160_20160428_img_noise.fits 
ELAIS-S1,160,image,KP,ELAIS-S1_PACS160_20160428_img_wgls.fits
GAMA-09,100,cov,MS,GAMA09-100um-cove_gls.fits
GAMA-09,100,noise,MS,GAMA09-100um-img_noise.fits   
GAMA-09,100,image,MS,GAMA09-100um-img_wgls.fits 
GAMA-09,160,cov,MS,GAMA09-160um-cove_gls.fits
GAMA-09,160,noise,MS,GAMA09-160um-img_noise.fits
GAMA-09,160,image,MS,GAMA09-160um-img_wgls.fits
GAMA-12,100,cov,MS,GAMA12-100um-cove_gls_20171002.fits 
GAMA-12,100,noise,MS,GAMA12-100um-img_noise_20171002.fits
GAMA-12,100,image,MS,GAMA12-100um-img_wgls_20171002.fits
GAMA-12,160,cov,MS,GAMA12-160um-cove_gls_20171002.fits
GAMA-12,160,noise,MS,GAMA12-160um-img_noise_20171002.fits
GAMA-12,160,image,MS,GAMA12-160um-img_wgls_20171002.fits
GAMA-15,100,cov,MS,GAMA15-100um-cove_gls_20171002.fits 
GAMA-15,100,noise,MS,GAMA15-100um-img_noise_20171002.fits
GAMA-15,100,image,MS,GAMA15-100um-img_wgls_20171002.fits
GAMA-15,160,cov,MS,GAMA15-160um-cove_gls_20171002.fits
GAMA-15,160,noise,MS,GAMA15-160um-img_noise_20171002.fits
GAMA-15,160,image,MS,GAMA15-160um-img_wgls_20171002.fits 
Lockman-SWIRE,100,image,KP,Lockman-SWIRE_PACS100_20160921_img_gls.fits
Lockman-SWIRE,100,noise,KP,Lockman-SWIRE_PACS100_20160921_img_noise.fits
Lockman-SWIRE,160,image,KP,Lockman-SWIRE_PACS160_20160921_img_gls.fits
Lockman-SWIRE,160,noise,KP,Lockman-SWIRE_PACS160_20160921_img_noise.fits 
NGP,100,cov,MS,NGP-100um-cov_gls.fits
NGP,100,noise,MS,NGP-100um-img_noise.fits
NGP,100,image,MS,NGP-100um-img_wgls.fits
NGP,160,cov,MS,NGP-160um-cov_gls.fits
NGP,160,noise,MS,NGP-160um-img_noise.fits
NGP,160,image,MS,NGP-160um-img_wgls.fits
XMM-LSS,100,noise,KP,XMM-LSS_PACS100_20160728_img_noise.fits
XMM-LSS,100,image,KP,XMM-LSS_PACS100_20160728_img_wgls.fits
XMM-LSS,160,image,KP,XMM-LSS_PACS160_20160728_img_gls.fits 
XMM-LSS,160,noise,KP,XMM-LSS_PACS160_20160728_img_noise.fits