field,ObsID
COSMOS,1342186610
COSMOS,1342186611
COSMOS,1342186625
COSMOS,1342186626
COSMOS,1342186627
COSMOS,1342186628
COSMOS,1342186770
COSMOS,1342186791
COSMOS,1342186792
COSMOS,1342186805
COSMOS,1342186806
COSMOS,1342186999
COSMOS,1342187000
COSMOS,1342187001
COSMOS,1342187002
COSMOS,1342187014
COSMOS,1342187015
COSMOS,1342187046
COSMOS,1342187047
COSMOS,1342187048
COSMOS,1342187049
COSMOS,1342187058
COSMOS,1342187059
COSMOS,1342187060
COSMOS,1342187061
COSMOS,1342187071
COSMOS,1342187072
COSMOS,1342187115
COSMOS,1342187116
COSMOS,1342187137
COSMOS,1342187138
COSMOS,1342187242
COSMOS,1342187243
COSMOS,1342187253
COSMOS,1342187254
COSMOS,1342187789
COSMOS,1342187790
COSMOS,1342188046
COSMOS,1342188047
COSMOS,1342188048
COSMOS,1342188049
COSMOS,1342188073
COSMOS,1342188074
COSMOS,1342197020
COSMOS,1342197021
COSMOS,1342197711
COSMOS,1342197712
COSMOS,1342197785
COSMOS,1342197786
COSMOS,1342232456
COSMOS,1342232457
COSMOS,1342232458
COSMOS,1342232459
COSMOS,1342233541
COSMOS,1342233542
COSMOS,1342245939
COSMOS,1342245940
COSMOS,1342246152
COSMOS,1342246153
COSMOS,1342246154
COSMOS,1342246155
COSMOS,1342246156
COSMOS,1342246157
COSMOS,1342246166
COSMOS,1342246167
COSMOS,1342246168
COSMOS,1342246169
COSMOS,1342246227
COSMOS,1342246228
COSMOS,1342246669
COSMOS,1342246670
COSMOS,1342246694
COSMOS,1342246695
COSMOS,1342246733
COSMOS,1342246734
COSMOS,1342246831
COSMOS,1342246832
COSMOS,1342246833
COSMOS,1342246834
COSMOS,1342246844
COSMOS,1342246845
COSMOS,1342246929
COSMOS,1342246930
XMM-LSS,1342213032
XMM-LSS,1342213033
XMM-LSS,1342213034
XMM-LSS,1342213035
XMM-LSS,1342213952
XMM-LSS,1342213953
XMM-LSS,1342213954
XMM-LSS,1342213955
XMM-LSS,1342213956
XMM-LSS,1342213957
XMM-LSS,1342213958
XMM-LSS,1342213959
XMM-LSS,1342213960
XMM-LSS,1342213961
XMM-LSS,1342213962
XMM-LSS,1342213963
XMM-LSS,1342213964
XMM-LSS,1342214010
XMM-LSS,1342214011
XMM-LSS,1342214012
XMM-LSS,1342214013
XMM-LSS,1342214014
XMM-LSS,1342214015
XMM-LSS,1342214016
XMM-LSS,1342214017
XMM-LSS,1342214018
XMM-LSS,1342214019
XMM-LSS,1342214053
XMM-LSS,1342214054
XMM-LSS,1342214055
XMM-LSS,1342214056
XMM-LSS,1342214057
XMM-LSS,1342214058
XMM-LSS,1342214153
XMM-LSS,1342214154
XMM-LSS,1342214155
XMM-LSS,1342214156
XMM-LSS,1342214169
XMM-LSS,1342214205
XMM-LSS,1342214206
XMM-LSS,1342214207
XMM-LSS,1342239455
XMM-LSS,1342239456
XMM-LSS,1342247646
XMM-LSS,1342247647
XMM-LSS,1342247648
XMM-LSS,1342247649
XMM-LSS,1342247650
XMM-LSS,1342247675
XMM-LSS,1342247676
XMM-LSS,1342247677
XMM-LSS,1342247678
XMM-LSS,1342247679
XMM-LSS,1342247680
XMM-LSS,1342247698
XMM-LSS,1342247699
XMM-LSS,1342248021
XMM-LSS,1342248022
XMM-LSS,1342248023
XMM-LSS,1342248024
XMM-LSS,1342248095
XMM-LSS,1342248096
XMM-LSS,1342248097
XMM-LSS,1342248098
XMM-LSS,1342248099
XMM-LSS,1342248100
XMM-LSS,1342248290
XMM-LSS,1342248291
XMM-LSS,1342248724
XMM-LSS,1342248725
XMM-LSS,1342258806
XMM-LSS,1342258807
XMM-LSS,1342261957
XMM-LSS,1342261958
Bootes,1342187711
Bootes,1342187712
Bootes,1342187713
Bootes,1342188090
Bootes,1342188650
Bootes,1342188651
Bootes,1342188681
Bootes,1342188682
Bootes,1342189108
GAMA-15,1342189661
GAMA-15,1342189662
GAMA-15,1342189691
GAMA-15,1342189692
GAMA-15,1342189845
GAMA-15,1342189846
GAMA-15,1342190254
GAMA-15,1342190255
GAMA-09,1342187170
GAMA-09,1342187171
GAMA-09,1342196885
GAMA-09,1342196886
GAMA-09,1342197282
GAMA-09,1342197283
GAMA-09,1342197307
GAMA-09,1342197308
GAMA-12,1342200112
GAMA-12,1342200113
GAMA-12,1342200121
GAMA-12,1342200122
GAMA-12,1342211317
GAMA-12,1342211318
GAMA-12,1342222625
GAMA-12,1342224030
GAMA-12,1342224138
EGS,1342221297
EGS,1342221298
EGS,1342221596
EGS,1342221597
EGS,1342221598
EGS,1342221599
EGS,1342221757
EGS,1342221758
EGS,1342221776
EGS,1342221777
EGS,1342221815
EGS,1342222151
EGS,1342222152
EGS,1342222153
EGS,1342222154
EGS,1342222155
EGS,1342222156
ELAIS-S1,1342195729
ELAIS-S1,1342195743
ELAIS-S1,1342196656
ELAIS-S1,1342219621
ELAIS-S1,1342220649
ELAIS-S1,1342220833
ELAIS-S1,1342220880
CDFS-SWIRE,1342224029
CDFS-SWIRE,1342224033
CDFS-SWIRE,1342224139
CDFS-SWIRE,1342224142
Lockman-SWIRE,1342233312
Lockman-SWIRE,1342233343
Lockman-SWIRE,1342245908
Lockman-SWIRE,1342245910
ELAIS-N1,1342187646
ELAIS-N1,1342187647
ELAIS-N1,1342187648
ELAIS-N1,1342187649
ELAIS-N1,1342187650
ELAIS-N1,1342228450
ELAIS-N1,1342228354
ELAIS-N2,1342214712
ELAIS-N2,1342226997
xFLS,1342186123
xFLS,1342186294
NGP,1342210558
NGP,1342210559
NGP,1342210567
NGP,1342210568
NGP,1342210902
NGP,1342210903
NGP,1342210917
NGP,1342210918
NGP,1342210931
NGP,1342210932
NGP,1342210946
NGP,1342210947
NGP,1342211292
NGP,1342222626
NGP,1342222676
NGP,1342222677
SGP,1342196626
SGP,1342219619
SGP,1342219620
SGP,1342219629
SGP,1342219642
SGP,1342219643
SGP,1342219811
SGP,1342219951
SGP,1342219978
SGP,1342220534
SGP,1342220618
SGP,1342220648
SGP,1342220832
SGP,1342220878
SGP,1342220879
SGP,1342221464
SGP,1342221465
SGP,1342221474
SGP,1342221475
SGP,1342221904
SGP,1342221905
SGP,1342221921
SGP,1342221922
SGP,1342222112
SGP,1342222113
SGP,1342222130
SGP,1342222131
SGP,1342231849
SGP,1342231850
SGP,1342232059
SGP,1342232726
SGP,1342232727